*the_geom:MultiLineString,Length:String
"MULTILINESTRING ((115.58508672527216 39.635379186428075, 115.58518695291559 39.63550932822071, 115.58531724759291 39.63568951188925, 115.58538740910171 39.635749617178845, 115.58540745499009 39.63577964554199, 115.5854776200962 39.63580975664272, 115.58553776315728 39.635819854230675, 115.58559790711773 39.63581995405539, 115.58565805197757 39.635810056116995, 115.58577834799246 39.6357402687262, 115.58593874297867 39.63563055593321))",0.106
"MULTILINESTRING ((115.58508672527216 39.635379186428075, 115.58529723947606 39.635289552798426))",0.021
"MULTILINESTRING ((115.66276995586882 39.61790064662522, 115.66273999315626 39.617980676394765, 115.6626800794222 39.61801075511992, 115.6625802285947 39.618020891378684, 115.66236055569516 39.618041192674575, 115.66222075878102 39.61810137710453, 115.66212090165834 39.618171505338395, 115.6620210463343 39.618221636247185, 115.66188125211818 39.61826182335214, 115.66171150418268 39.61828205540023))",0.106
"MULTILINESTRING ((115.58602901152972 39.63511080264922, 115.58679085781195 39.63491210733567))",0.069
"MULTILINESTRING ((115.59017949698625 39.62976872087751, 115.58985872589948 39.62978818220658, 115.5895680236455 39.62983768808658, 115.58927731689472 39.62993718368181, 115.5889765809045 39.63008665370387, 115.58877608604757 39.6302262932366, 115.58870591194828 39.6302861647025))",0.143
"MULTILINESTRING ((115.58555822723044 39.631660659739396, 115.58583889664781 39.6317011202383))",0.024
"MULTILINESTRING ((115.5906906707379 39.63027947644445, 115.59068064869304 39.630259463830946, 115.59062051372575 39.63016938054023, 115.5904100283002 39.629979066008836, 115.59037995946765 39.62994902145794, 115.59036993832204 39.629919010181936, 115.59035991807582 39.62987900114274, 115.59035992886767 39.62976902215041, 115.59035994505552 39.62960905254351))",0.084
"MULTILINESTRING ((115.58518723710144 39.632669854657834, 115.5854578826752 39.632700299407034))",0.023
"MULTILINESTRING ((115.59459005109001 39.62994604380265, 115.59476045822862 39.6299563257516, 115.59513134403629 39.62997694001154, 115.5952115356839 39.6299770731112))",0.053
"MULTILINESTRING ((115.66305956005068 39.61752029815088, 115.6631693951515 39.61752014706483, 115.66322930708691 39.61751006566468, 115.66325926350429 39.61749002697084, 115.6632692522743 39.617460016594165, 115.66325928868525 39.61724006040815))",0.046
"MULTILINESTRING ((115.58814447328882 39.6312150537595, 115.58813446023727 39.63110505768004, 115.58816454885493 39.63093513977265, 115.58817458259102 39.63083517563058, 115.58819463567397 39.63078521829095, 115.5882046649134 39.630735244763514, 115.58821469145495 39.63071526452558, 115.58824477018003 39.63064532784733, 115.58828487274877 39.63058540601941, 115.58832497531739 39.6305154864283, 115.58836507788612 39.630455564600375, 115.58840517865609 39.63040564053563, 115.58844527762756 39.63037571289659, 115.58849540044241 39.63035580100717))",0.104
"MULTILINESTRING ((115.59164300332202 39.629791158962576, 115.59164301231523 39.62970117639594))",0.010
"MULTILINESTRING ((115.58609962899469 39.630621754817874, 115.58618986157296 39.63046193539777, 115.58620991555516 39.630401980294884, 115.58619989440967 39.63037196901888, 115.58608964022483 39.63027180342874, 115.58576889521841 39.630031313022414))",0.082
"MULTILINESTRING ((115.58430500037547 39.63388816083774, 115.58443530764339 39.63393836818894, 115.58461573502827 39.63398865917704, 115.58470594782123 39.63402880221522, 115.5848061808606 39.63409895563008, 115.58485629558164 39.63414902988162, 115.58489638555977 39.63421908347171, 115.58488635452169 39.63428905432417, 115.58482619257484 39.63445892276885, 115.58480613499523 39.634558870723104, 115.58480612510267 39.634658851952246, 115.58480611251218 39.634778830506406, 115.58480610441825 39.634858815309855))",0.137
"MULTILINESTRING ((115.58283112125935 39.63734507564253, 115.58259052293431 39.63755463836366))",0.031
"MULTILINESTRING ((115.58583889664781 39.6317011202383, 115.58616968528283 39.63174166347477))",0.029
"MULTILINESTRING ((115.59073075532012 39.63039952064913, 115.59129211573861 39.63025048589895, 115.59149260250172 39.630190831169664, 115.59179333129727 39.63011134818794))",0.096
"MULTILINESTRING ((115.66154127690845 39.62311162253106, 115.66159118838266 39.6232515345584))",0.016
"MULTILINESTRING ((115.59605337576271 39.63172813227522, 115.59572259162441 39.631657595749175, 115.59558225691569 39.631637366399104, 115.59550206526819 39.63163723240014, 115.59537175170499 39.63165701208919, 115.59526148582894 39.6316768250532, 115.59518129328217 39.63167669105424, 115.59508105394752 39.63167652467963, 115.59470014699424 39.63162590094232, 115.59456983522978 39.631625684205694, 115.59449966472778 39.63164556371954, 115.59443951627077 39.63169545361007))",0.143
"MULTILINESTRING ((115.64014184047356 39.63816865408789, 115.64007194066755 39.638218741829284, 115.63989219946552 39.63831897037198, 115.63976239132136 39.638349141727296, 115.63955270899044 39.63831943172419))",0.057
"MULTILINESTRING ((115.66312943017908 39.61777016758684, 115.66305953486972 39.61777026381428))",0.006
"MULTILINESTRING ((115.58481605901396 39.63555870279967, 115.58451535360076 39.635398232270376, 115.58432491046631 39.635267939391696, 115.58422467652768 39.635197785976835, 115.5841946094937 39.635147745000246, 115.58403423699053 39.635027500246714, 115.58379367194048 39.63491712015674, 115.58347291524285 39.634786610541454, 115.58329249235464 39.63469632760124, 115.58299178694142 39.63453585617261, 115.58279131726555 39.63442554263244))",0.215
"MULTILINESTRING ((115.6612717581852 39.62233210097339, 115.66125179773233 39.622242140889796, 115.66123183817889 39.6221321834812, 115.66121188132331 39.62200222874754, 115.66121189841046 39.62183225238426, 115.66122189347561 39.621732253168666, 115.66125186068486 39.62161222784972, 115.66128182519617 39.62151220075515, 115.66135173129739 39.62140211924009, 115.66147157135596 39.621211980975836, 115.66158141724861 39.62110184460215, 115.66161137636404 39.621061809482626, 115.66164133457993 39.621031772126294, 115.66173120832865 39.62095165961908, 115.66205075453875 39.6207012532879, 115.66245019022413 39.62035075151368, 115.66266988560677 39.62011048144125, 115.66285962097481 39.619910247387665))",0.316
"MULTILINESTRING ((115.58755274096632 39.63435347905758, 115.58766301763423 39.63422368710123, 115.58771314674435 39.63413378727224))",0.028
"MULTILINESTRING ((115.65254454459512 39.62525368263905, 115.65297385575887 39.625713024863934))",0.063
"MULTILINESTRING ((115.57736838284463 39.63374663992325, 115.57745859383908 39.63380677938712, 115.5780098719581 39.63423762029774, 115.5783005472325 39.63445806481561, 115.57849099126635 39.634578360830474, 115.57864134442252 39.63465859654477, 115.57902224058398 39.63482919973555, 115.57946327890727 39.6350198991768, 115.57979405495178 39.635190418730616, 115.57995443015282 39.63528066929521))",0.281
"MULTILINESTRING ((115.58582849329036 39.635490399290255, 115.58647006873878 39.635111536496005, 115.58663046372499 39.63501182146618, 115.58679085781195 39.63491210733567))",0.104
"MULTILINESTRING ((115.62590319737468 39.6379780598674, 115.62580341309706 39.63731831001978, 115.62580342568765 39.63718833280311, 115.62582340862342 39.63705832770743, 115.62587334707734 39.636928283041634, 115.62598319746667 39.63677815921247, 115.62613299304324 39.636577989910094, 115.62626281737516 39.63638784624991, 115.6264126030593 39.63628765907599, 115.62665224990145 39.636227343344984, 115.62712155121869 39.63617671241313, 115.62788041265094 39.63619567551778, 115.62899872860851 39.63627413866838, 115.62949797015528 39.63637344090936))",0.471
"MULTILINESTRING ((115.58679085781195 39.63491210733567, 115.58731214084264 39.63458303550643, 115.58739233878543 39.634523180228335, 115.58745248904121 39.63446329167536))",0.076
"MULTILINESTRING ((115.63953275033622 39.63819947835105, 115.639762423697 39.63802919262093, 115.64003204044639 39.63781886008012, 115.6405812582185 39.63740817747321))",0.126
"MULTILINESTRING ((115.59320674449577 39.62987375179994, 115.59344732123691 39.62987415379688, 115.59371796860943 39.62988460301978, 115.59411892684705 39.62991526540491))",0.078
"MULTILINESTRING ((115.66136093226123 39.62926101850894, 115.66133098663579 39.62917107281452, 115.66125111244891 39.629111189657394, 115.6611812207368 39.62907129123487, 115.66108137260733 39.6290514306068, 115.66092161164316 39.62905165004138, 115.66076184977965 39.62907186590166, 115.66064202770747 39.629082028240745, 115.66053219350601 39.629072179765046, 115.66048226944123 39.629062249450996, 115.66043234717519 39.62903232271127, 115.66040239705309 39.62898237076755, 115.66039242087356 39.628892396294816, 115.66045234539945 39.628752334080716, 115.66053224656594 39.628542254249375, 115.66060216166044 39.6283421856711, 115.66062213650241 39.62829216537885, 115.66062214279772 39.62823217340381, 115.6606321342656 39.62816217017574, 115.66061217111483 39.628092207417176, 115.66059220886336 39.62802224375929, 115.66055227266928 39.627982303967876, 115.66050234680598 39.627982373215715, 115.66047239128783 39.627992412347666, 115.66044243307194 39.628022449704, 115.66038251394195 39.62811251860556, 115.66030262176868 39.62823261137366, 115.66023271386871 39.62835269065192, 115.66014283022753 39.628542787547346, 115.66003298163683 39.62867291944739, 115.65990316719751 39.628763084576455, 115.65979332670078 39.62881322807577))",0.333
"MULTILINESTRING ((115.62233869397562 39.63642318600902, 115.62228875821972 39.636533234249136, 115.62219887997433 39.636663333773626, 115.62202911585108 39.63684353273065, 115.62165963838163 39.637153980499576, 115.62130015058153 39.63742442192732, 115.6208008658673 39.637755042389124, 115.62044138346312 39.63796549364041, 115.62004195856959 39.63819599527675, 115.61966250042417 39.638466463684146, 115.61946278617872 39.63860670935997, 115.61920315640066 39.63878702972544, 115.61911328445058 39.63885713997285, 115.61905336891789 39.63890721242575, 115.6190234098026 39.63894724574657, 115.61894351583065 39.63908732864514))",0.420
"MULTILINESTRING ((115.5828411019354 39.63777501363374, 115.58259052293431 39.63755463836366))",0.032
"MULTILINESTRING ((115.66296969439598 39.61752042225734, 115.66305956005068 39.61752029815088))",0.008
"MULTILINESTRING ((115.59168313646762 39.629421296583295, 115.59166308428394 39.62946125526048, 115.59162298711124 39.62947118647383, 115.59151272303383 39.629471003012156, 115.59100149892015 39.629450154029136))",0.061
"MULTILINESTRING ((115.66050331087911 39.618323717393345, 115.66053326909513 39.618293680037006, 115.66057321068524 39.61827362785333, 115.66063312172126 39.61826354645317, 115.66071300220337 39.618263435836575, 115.66171150418268 39.61828205540023))",0.106
"MULTILINESTRING ((115.66353879977589 39.617939579175896, 115.66354878045195 39.61798955899863))",0.006
"MULTILINESTRING ((115.65551969078116 39.629219023766666, 115.65536990509713 39.629319214537865, 115.6552700434778 39.629429335623115, 115.6552500695351 39.62946935725278, 115.6552500641392 39.629519349666, 115.6552800016708 39.62969928332302, 115.65531992977105 39.629819210615835, 115.65540978193597 39.62994906912199, 115.65550962466955 39.630028920825794, 115.65561945437436 39.63008876171472, 115.655978901705 39.630228250161394, 115.6563283674602 39.63032775744779, 115.65647814055377 39.63035754838989, 115.65688751374786 39.63048696982554, 115.65714711115025 39.630626594969165, 115.65724695658184 39.63067645068542, 115.6574266762002 39.63078618955876, 115.65752652163178 39.63083604527504, 115.6575964151425 39.630855947271925, 115.65767629382596 39.63086583621715, 115.65776616397739 39.630815720596786, 115.65785603682673 39.63074560765143, 115.6579059671867 39.63069554688973))",0.342
"MULTILINESTRING ((115.6427881144799 39.63577542952024, 115.64272819804795 39.63583550243428, 115.642548448752 39.63602571714095, 115.64223888591594 39.636286097852896, 115.64212904272118 39.63636623464177))",0.087
"MULTILINESTRING ((115.65643826011764 39.629757688893946, 115.65637834098766 39.62984775779552, 115.65630844208101 39.62987784911121, 115.65616864966353 39.62989803799183))",0.030
"MULTILINESTRING ((115.63550871495534 39.63885484490299, 115.63608784417876 39.638884053084375, 115.63669692981956 39.638903221234486, 115.63732598580566 39.63891236464172, 115.63769543449678 39.638891865495, 115.63803492946853 39.638851410392064, 115.6381847097566 39.63881121339459, 115.63836444376409 39.6387709750283, 115.63854417957033 39.63872073889876, 115.63870394682978 39.63866053108642, 115.6388936705066 39.63858028637888, 115.63917326523404 39.63843992828788, 115.63953275033622 39.63819947835105))",0.366
"MULTILINESTRING ((115.62345684265927 39.638181352515225, 115.62341690736447 39.63813141585996, 115.62339694691161 39.63804145847432, 115.62340693837962 39.63797145704489, 115.62350679730095 39.6378913355445, 115.62462517351297 39.63736990502489, 115.6247250261391 39.63733977413908))",0.158
"MULTILINESTRING ((115.66162124192681 39.62226163009786, 115.66161121178801 39.6227115816019, 115.66161118121113 39.62302153834101, 115.66161117131855 39.62312152496613, 115.66159118838266 39.6232515345584))",0.110
"MULTILINESTRING ((115.59017951227474 39.62960875127061, 115.59018957928572 39.629178850151554))",0.048
"MULTILINESTRING ((115.66312943017908 39.61777016758684, 115.66349890045397 39.61752969067037))",0.041
"MULTILINESTRING ((115.64953921626193 39.62357806130622, 115.649399428341 39.6235482586729))",0.012
"MULTILINESTRING ((115.640771595233 39.63117890910712, 115.64075163567952 39.631078952159676, 115.6406817745443 39.63072910329322, 115.64068178173886 39.630659114454325, 115.64056198394849 39.630429315188515))",0.086
"MULTILINESTRING ((115.64383760082468 39.62517565296175, 115.6438675473495 39.625255599094345, 115.643867534759 39.62538557900896, 115.6438475554204 39.62547559215258, 115.64380761113239 39.62551564076197))",0.039
"MULTILINESTRING ((115.64176955671974 39.636616685039755, 115.64170964208643 39.63665676062878))",0.007
"MULTILINESTRING ((115.57895138839591 39.641657860849435, 115.57899150445438 39.641457962242974, 115.57905168079047 39.641138119256595, 115.5790717527592 39.64089819542318, 115.5790517257566 39.64068820012813, 115.57904171540291 39.64054820896047, 115.57906177298253 39.64045825787014, 115.57910187914844 39.64035834229145, 115.5791820923797 39.640148512471676, 115.57920215355661 39.64001856942924, 115.57926231550356 39.63983870142271, 115.57933250668985 39.63960885898944, 115.57937262994302 39.639338974242094, 115.57939272259614 39.63888908748918, 115.57940279140576 39.63844918321102, 115.57940285975427 39.63775930697425))",0.438
"MULTILINESTRING ((115.65632849156667 39.629087934987965, 115.65637842012802 39.62904787288878, 115.65653819098476 39.62894766772842))",0.024
"MULTILINESTRING ((115.64244951343437 39.62684729659319, 115.64239959206758 39.62680737119095, 115.64229975113268 39.62671752172397, 115.64214000455763 39.62657776348075, 115.64199023865866 39.62647798459906, 115.64188040895374 39.62641814460942, 115.64179054689623 39.626388272728356, 115.64173063765885 39.626378356803436, 115.64158086366604 39.6263685631864, 115.64141111483117 39.6263987920983))",0.110
"MULTILINESTRING ((115.66322924413441 39.61813997960403, 115.6631493645516 39.61813009065881))",0.007
"MULTILINESTRING ((115.65198540010624 39.62508447519607, 115.65164593391273 39.62482498031632, 115.65121660386319 39.62456560864362))",0.088
"MULTILINESTRING ((115.58529723947606 39.635289552798426, 115.58584857425238 39.63516049378953, 115.58602901152972 39.63511080264922))",0.066
"MULTILINESTRING ((115.48814020980286 39.652572916334876, 115.48920298542951 39.65242499674408, 115.48932329943078 39.6524052323435, 115.48979453698838 39.6522761616434, 115.4899048271461 39.652236379233415, 115.48999506512017 39.65219655815254, 115.49019559415137 39.65211695556095, 115.49038609394314 39.65206733097042))",0.201
"MULTILINESTRING ((115.49157854821146 39.65850906147194, 115.49156852436795 39.6584790448, 115.4915484748823 39.6584590079048, 115.49151839975447 39.65842895256202, 115.49145824500202 39.65840883742584, 115.49120760124983 39.65833835755706, 115.49086672491943 39.65824770499551, 115.49026517829543 39.658086552780105, 115.49012481840568 39.65804628383688, 115.49003458492825 39.65803610980657, 115.48988419579906 39.658015820201854, 115.48955333881554 39.65799517986158, 115.48914227219814 39.657984383500434, 115.48897183178464 39.65796405432559, 115.48874123482017 39.65794360913815, 115.48851064055374 39.65789316616462, 115.4883000975715 39.65785276142372, 115.48812965805735 39.65782243268705, 115.48786898416633 39.657791930381215, 115.48771859413785 39.657781639438994, 115.48755817756785 39.65778132827358, 115.48744789190677 39.65778111423498, 115.48732758240203 39.65775088352438, 115.48722732598036 39.65771069192282, 115.48709699173286 39.657660443202815, 115.48690650543097 39.657580080684106, 115.48682630209225 39.65752992999017, 115.48674609785417 39.657489777958794, 115.48670599798345 39.65744970326908, 115.48666589721347 39.65740962857944, 115.48659572491282 39.65730950166011, 115.48655563043803 39.657219430959906, 115.48652555620946 39.65717937605529, 115.48648545364084 39.65715930048923, 115.48641527324628 39.657139165567955, 115.48636514413614 39.657129069778634, 115.48631501322734 39.65713897131438, 115.48616461690358 39.65719867460706, 115.48609443291186 39.65720853747193, 115.48605433034311 39.657198460568445, 115.48596409776496 39.657178286976254, 115.4859039448113 39.65714817227825, 115.48585381929843 39.65709808004027, 115.4858137194277 39.65705800535056, 115.48576359121682 39.65703790999946, 115.48573351249172 39.65703785154352, 115.48566333029851 39.657037714846574, 115.4855831206645 39.65705755748819, 115.48554301539785 39.65706747880903, 115.48548285974631 39.657057363234614, 115.48545278192046 39.657057304778725, 115.48543273063602 39.65704726654603, 115.4854026555082 39.65701721120324, 115.48539263256397 39.65698719363199, 115.48538261141846 39.65693717873574, 115.48536256463069 39.65688714405438, 115.48533249040213 39.65684708914976, 115.48529239143079 39.65679701579755, 115.4851520414336 39.65664675617079, 115.48513199194794 39.65662671837628, 115.48510191502147 39.656606661695996, 115.48502170898475 39.65658650788894, 115.48490139858076 39.65656627584086, 115.484821192544 39.65654612203382, 115.48477106523252 39.65651602712084, 115.48473096536179 39.656475953330514, 115.48467081510616 39.6564158408463, 115.48462069049253 39.65635574904648, 115.48460064370477 39.65630571436512, 115.4846006464028 39.656275716578975, 115.48461067564223 39.65624573857791, 115.48463073052379 39.65621578036187, 115.48465078360688 39.65620582037023, 115.48473099414014 39.65618597772861, 115.48485130814142 39.65616621242866, 115.48491146559172 39.656156330678016, 115.48499167612499 39.65613648803638, 115.48501172920804 39.65612652804474, 115.48503178319025 39.656106568491275, 115.48505183807197 39.656076610275235, 115.48505184166926 39.65604661248908, 115.48505184436716 39.65601661470293, 115.4850518461658 39.65599661647859, 115.48503179937813 39.65594658179724, 115.48502177553462 39.655926564687135, 115.48497165182039 39.65585647242617, 115.48491150336325 39.65577636261695, 115.48490148131839 39.65573634638319, 115.48490148491567 39.65570634949634, 115.48492154249526 39.655646393494166, 115.48500175932384 39.655566556179544, 115.48506192306934 39.65548667929469, 115.48509200359318 39.65546673952631, 115.48513210885983 39.655456818205465, 115.48518223886924 39.65545691623161, 115.48524239452092 39.65546703180596, 115.48534265453998 39.65546722695886, 115.48538275890724 39.655467304300586, 115.48541283763245 39.65545736409398, 115.48545294469774 39.65542744454886, 115.48550308100243 39.65536754700262, 115.48554319256436 39.655297631008786, 115.4855833041263 39.65521771545313, 115.48561338644869 39.65517777746036, 115.48565349441333 39.65513785835336, 115.48570362712076 39.65511795815516, 115.48584399330572 39.655098232425395, 115.48589412511387 39.65508833088965, 115.48593423217913 39.655058411344534, 115.48596431630017 39.654998474228115, 115.485974346439 39.654958497564486, 115.48598437837643 39.654898521777255))",0.937
"MULTILINESTRING ((115.54566157722012 39.641612716681344, 115.54564153402964 39.64156269009391, 115.54560144405151 39.6415026324683, 115.54553128434134 39.64141252939255, 115.54545109898913 39.64134240655467, 115.54537091273744 39.64128228327855, 115.5452406063689 39.64122207546621, 115.54509025141408 39.64117183394081, 115.544849680968 39.6411014449036, 115.54453894361747 39.64103094075314))",0.122
"MULTILINESTRING ((115.50443171645065 39.651693357790144, 115.50300823983842 39.65233094834248))",0.141
"MULTILINESTRING ((115.5408184707959 39.65657258728299, 115.5409688446365 39.656432854220775, 115.54103902053443 39.656362978696436))",0.030
"MULTILINESTRING ((115.51289124863227 39.65920643985322, 115.51292136063239 39.65880653472176, 115.51289130978614 39.65859650884971, 115.5128312098925 39.658156459780734, 115.51267088775137 39.65753626661335, 115.51269097860585 39.65710634840717))",0.235
"MULTILINESTRING ((115.51444588596894 39.65010002982042, 115.51464634485295 39.6503203349434, 115.51470647712233 39.65044042051689, 115.5146964469835 39.65050039720342, 115.5146663682583 39.65056034061508, 115.51458617031562 39.65062020128916, 115.51456612172922 39.650630167576026))",0.070
"MULTILINESTRING ((115.5277066935091 39.65998062573324, 115.5279372509035 39.659931010135956, 115.52816780649914 39.65990139096437, 115.52840838324038 39.659901785766756, 115.52893965414182 39.65993265229798, 115.52935063532357 39.65997331964093, 115.52971149638847 39.66001390604486, 115.52991197505766 39.66003423162244, 115.53011245552545 39.66003455987499, 115.53030291484767 39.660014874614724, 115.53065376376026 39.65993545998141))",0.255
"MULTILINESTRING ((115.54128914537786 39.661112719304484, 115.5414595336306 39.661312969545826, 115.54155975497872 39.661503106910814, 115.54172011579078 39.66174333561437, 115.54181031419468 39.66192345722972, 115.54187044286675 39.66207353429413, 115.541990703808 39.66235369109793, 115.54218113525121 39.66260396792674, 115.54224126302393 39.66276404275433, 115.54241164048484 39.66307427738396, 115.54250184428473 39.663204406586054, 115.54259205617848 39.66324454872492, 115.54290279532779 39.66330504791758, 115.5429829869753 39.66331517788112, 115.54332380484982 39.66330573589896, 115.54343406802786 39.66331591532517, 115.54347416340192 39.66332597873887, 115.54353430646313 39.66333607632683, 115.54362451835686 39.66337621756638, 115.54369467986567 39.6634463224178, 115.54381493810898 39.663746475647294, 115.5439051392109 39.66389660127507, 115.54399534031279 39.66404672780217, 115.54401538620118 39.66407675616532, 115.54439626887279 39.66437733477412, 115.54446642948221 39.66445743828812, 115.54453657660177 39.66466752261606, 115.54466684609814 39.665097672847295, 115.54488734817267 39.66535799510334, 115.54496752992759 39.665468110792666, 115.54504771078325 39.66557822558262))",0.633
"MULTILINESTRING ((115.51336318046651 39.6511981209244, 115.51331306124882 39.651188039524314, 115.51318275398103 39.65113783037447, 115.51313263746135 39.651097752087495, 115.51299231444388 39.650967535651105, 115.51292214933777 39.65093742365105, 115.51283193384677 39.650927276600385))",0.056
"MULTILINESTRING ((115.54028876021812 39.64096390618716, 115.53997800578041 39.6410533788382, 115.53942666830619 39.64121244282781, 115.53929635564238 39.6412122269905))",0.090
"MULTILINESTRING ((115.5391736278607 39.665568635212296, 115.53889303488573 39.664768288953304, 115.53893318781638 39.66420843220133, 115.53895325528856 39.66400849222609, 115.5390835940327 39.663748741938875, 115.53915377622582 39.66360887577694, 115.53934427152105 39.66321924180253, 115.53946458462292 39.66297947175318, 115.53953476142021 39.66288959890383, 115.5397051928404 39.66265990935531, 115.53986559771921 39.6624601996065, 115.53996587572463 39.66208041680575, 115.53999600661051 39.66150054744027))",0.473
"MULTILINESTRING ((115.53206724260917 39.65903789431133, 115.53242812705652 39.65883851191569, 115.53297949151033 39.65841947190905, 115.53458340270198 39.657762190700446, 115.53590660670456 39.657444404463604, 115.5367887292166 39.657365863072066, 115.53799161741925 39.6573278424339, 115.53870332829604 39.6572790164414, 115.53947519122721 39.657160299636004))",0.685
"MULTILINESTRING ((115.54385485092065 39.6655762776511, 115.54387489141324 39.66565629932671, 115.5438949319057 39.66572632144055, 115.5441655469025 39.66606671483497, 115.54442613985452 39.666387093817306, 115.54446623073206 39.666437151881034, 115.54461656500258 39.6666973599232))",0.141
"MULTILINESTRING ((115.51618837909052 39.66696094402033, 115.5167096423362 39.66683180946841, 115.51698029690328 39.66677225816118))",0.071
"MULTILINESTRING ((115.54461656500258 39.6666973599232, 115.54460653846104 39.666727338823584, 115.54453635806658 39.66684720676119, 115.54450627304618 39.66697713901174, 115.54450625955633 39.667107120725, 115.544546334246 39.667327154252746, 115.54456637204055 39.66742717235411, 115.54463652635468 39.6675672660445, 115.54467661003764 39.667687314745756, 115.54467660284297 39.66776730314649, 115.54468661139809 39.66791729747331, 115.54467658215856 39.66796727369871, 115.54465652997499 39.66800723507385, 115.54457633293144 39.66805709798467, 115.54451618717235 39.66807699638422, 115.54447609089891 39.668076931633095, 115.54441594783783 39.668066834944455, 115.54420544712377 39.668026497652704, 115.54412525367752 39.66803636501418, 115.54389469358536 39.66810597883585, 115.54355387121427 39.668165415029875, 115.54347367686876 39.66818528105387, 115.5434436026402 39.668205229815506, 115.54339348252324 39.668205147977176))",0.264
"MULTILINESTRING ((115.54005660023199 39.65701127477841, 115.54040745993645 39.6568218775555, 115.5408184707959 39.65657258728299))",0.081
"MULTILINESTRING ((115.53065376376026 39.65993545998141, 115.53074398644583 39.6598656168327, 115.53141563972008 39.65943677421569, 115.53178655250746 39.65920741202034, 115.53206724260917 39.65903789431133))",0.157
"MULTILINESTRING ((115.51514759728389 39.64981121973988, 115.51518768816129 39.649861279602256))",0.007
"MULTILINESTRING ((115.54215223283937 39.65092557957969, 115.54285400710684 39.65000686635166, 115.54299438498299 39.64958715814869, 115.5431447920986 39.649127471483496, 115.5432250071284 39.648897637144096))",0.246
"MULTILINESTRING ((115.51597951694121 39.65056250438392, 115.51590936802302 39.65037241018644, 115.51562875975945 39.649722023180686, 115.51545838499656 39.6493817817717))",0.139
"MULTILINESTRING ((115.52004777468518 39.6655374107509, 115.52109034884064 39.66479920224934, 115.52158156303882 39.664430049435204, 115.52242364593462 39.663791503802805, 115.52315545486043 39.66324276716793, 115.5237769916149 39.66278384042984, 115.52454889411626 39.662265167231645, 115.52480953653094 39.66208561668579, 115.52517042907209 39.661816240954714, 115.5259222874837 39.66125754163018, 115.52642352552539 39.66088840860114, 115.52655384808168 39.660788635115374, 115.52670422102301 39.66066889578082))",0.786
"MULTILINESTRING ((115.51190826085757 39.66552412146898, 115.51195837288071 39.665604194405994, 115.5121187354913 39.66582443207982, 115.5124394634106 39.666234909641325))",0.091
"MULTILINESTRING ((115.49371411341565 39.65832322106774, 115.49361385159807 39.658333025476665, 115.49354366940486 39.65833288967906, 115.49336319975191 39.65834253850528, 115.49295212953723 39.65837173859279, 115.4925210089375 39.658380901785115))",0.102
"MULTILINESTRING ((115.58950644706499 39.64414487571329, 115.590358494449 39.64409629433638, 115.5905188813414 39.64407656321069, 115.59059907208962 39.64408669407353, 115.5907093343684 39.644106873061574, 115.59110024987672 39.644327477658834, 115.59120048471469 39.64437763374863, 115.59128067186555 39.644427756563545, 115.59156133948431 39.64448820899147, 115.59197232606209 39.64446889245326, 115.59212267562101 39.64457912055778, 115.59213269226996 39.644659121549054))",0.251
"MULTILINESTRING ((115.59391330315647 39.68127497099121, 115.59391330495511 39.681254974565455, 115.59383313579065 39.68102488931524, 115.59378303276081 39.680854841006145, 115.59374295177587 39.680704805310555, 115.5937429571718 39.680654815595304, 115.59375298461259 39.68061483893174, 115.59377303769554 39.680564881592055, 115.59380311282347 39.68053493596655, 115.59383318795132 39.680504990341106, 115.59389333640843 39.68046509551581, 115.59396350511179 39.68045521106718, 115.59404369855794 39.68044534190707, 115.59411386546253 39.680455453884136, 115.59415395993732 39.68046551639852, 115.59418403146799 39.680475562725086, 115.59423415068555 39.680485642326595, 115.59444464330568 39.68059596036331, 115.59475536806588 39.680786425081486, 115.59489569557991 39.680866636514125))",0.197
"MULTILINESTRING ((115.61874176552008 39.65963388402446, 115.61870182932603 39.659593944233066, 115.61867188100257 39.659523996762985, 115.61863195200306 39.659414070830636))",0.026
"MULTILINESTRING ((115.63372140142155 39.63877728826907, 115.63384122619173 39.63873713264034, 115.63394107701913 39.63872699818022, 115.63409085370995 39.63871679627095, 115.63432051088294 39.6387064855437, 115.63516923527207 39.63874532456486))",0.125
"MULTILINESTRING ((115.60104018485674 39.640691351352594, 115.60114003118758 39.64073120840635))",0.010
"MULTILINESTRING ((115.59489569557991 39.680866636514125, 115.59509616435649 39.680976938363095, 115.5953467496529 39.681127313103076, 115.59563742942385 39.6812877512568, 115.595998274301 39.68147829691392, 115.59614862655792 39.6815485249725, 115.59629898151286 39.681598758404014, 115.59652952901456 39.68164912043861, 115.59665983987973 39.68165932864318, 115.59682022227548 39.681669585411115, 115.59697058352572 39.68165983046489, 115.5971610401499 39.68164014070797, 115.59757202672768 39.6815808124326, 115.59775246040783 39.681541110961554, 115.5978928014117 39.68148134831368, 115.5980231185721 39.68142156947792, 115.5981434136877 39.68134177892804, 115.59830380777453 39.68122206117724, 115.59842410558804 39.68112227420166, 115.59852435481515 39.68101245708728, 115.59863463418105 39.68083266822113, 115.59867474394434 39.680682762027864, 115.59867475923284 39.680532791982806, 115.59866474708043 39.68042279770198, 115.59864471288323 39.68028279394385, 115.59854450592422 39.67998269287502))",0.479
"MULTILINESTRING ((115.61764514840489 39.64221852429332, 115.61723576351972 39.64220908141183))",0.035
